Metai,Nr,Žaidėja,EFF,Komanda,Metai,Nr,Žaidėja,PTS,Komanda,Metai,Nr,Žaidėja,FG%,Komanda,Metai,Nr,Žaidėja,FT%,Komanda,Metai,Nr,Žaidėja,REB,Komanda,Metai,Nr,Žaidėja,AST,Komanda,Metai,Nr,Žaidėja,BS,Komanda,Metai,Nr,Žaidėja,ST,Komanda,Metai,Nr,Žaidėja,TO,Komanda,Metai,Nr,Žaidėja,MIN,Komanda
2019,1.,Daugilė  Šarauskaitė,"25,08",Vilniaus Kibirkštis-MRU,2019,1.,Lina  Mikelevičienė,"20,83",Klaipėdos Neptūnas,2019,1.,Žaneta  Gustytė,"60,00%",Klaipėdos Neptūnas,2019,1.,Aušrinė  Belickaitė,"93,75%",Vilniaus Kibirkštis-VKM,2019,1.,Brigita   Gudelionytė,"12,44",Klaipėdos Neptūnas,2019,1.,Laurita  Jurčiūtė,"4,25",Šiaulių Šiauliai,2019,1.,Daugilė  Šarauskaitė,"3,08",Vilniaus Kibirkštis-MRU,2019,1.,Kristina  Masionytė,"2,91",Kauno Aistės-LSMU,2019,1.,Dominyka  Gerkytė,"6,73",Vilniaus Kibirkštis-VKM,2019,1.,Brigita   Gudelionytė,"32,78",Klaipėdos Neptūnas
2019,2.,Lina  Mikelevičienė,"20,33",Klaipėdos Neptūnas,2019,2.,Audronė  Zdanevičiūtė,"20,09",Vilniaus Kibirkštis-VKM,2019,2.,Daugilė  Šarauskaitė,"58,87%",Vilniaus Kibirkštis-MRU,2019,2.,Lina  Mikelevičienė,"93,10%",Klaipėdos Neptūnas,2019,2.,Daugilė  Šarauskaitė,"11,25",Vilniaus Kibirkštis-MRU,2019,2.,Dalia  Donskichytė,"4,00",Klaipėdos Neptūnas,2019,2.,Gintarė  Paulauskaitė,"2,00",Šiaulių Šiauliai,2019,2.,Dalia  Donskichytė,"2,50",Klaipėdos Neptūnas,2019,2.,Audronė  Zdanevičiūtė,"5,18",Vilniaus Kibirkštis-VKM,2019,2.,Karolina  Kazočiūnaitė,"32,70",Kauno Aistės-LSMU
2019,3.,Karolina  Kazočiūnaitė,"17,30",Kauno Aistės-LSMU,2019,3.,Laurita  Jurčiūtė,"15,50",Šiaulių Šiauliai,2019,3.,Gabija  Šegždaitė,"52,94%",Kauno Aistės-LSMU,2019,3.,Ieva  Bagdanavičienė,"92,31%",Kauno Aistės-LSMU,2019,3.,Lina  Mikelevičienė,"7,83",Klaipėdos Neptūnas,2019,3.,Anastasya  Sushchyk,"3,70",Šiaulių Šiauliai,2019,3.,Karolina  Kazočiūnaitė,"0,90",Kauno Aistės-LSMU,2019,3.,Laurita  Jurčiūtė,"2,50",Šiaulių Šiauliai,2019,3.,Dominyka  Paliulytė,"4,55",Šiaulių Šiauliai,2019,3.,Gintarė  Paulauskaitė,"31,50",Šiaulių Šiauliai
2019,4.,Brigita   Gudelionytė,"15,67",Klaipėdos Neptūnas,2019,4.,Daugilė  Šarauskaitė,"15,33",Vilniaus Kibirkštis-MRU,2019,4.,Livija  Sakevičiūtė,"51,28%",Vilniaus Kibirkštis-MRU,2019,4.,Anastasya  Sushchyk,"83,33%",Šiaulių Šiauliai,2019,4.,Karolina  Kazočiūnaitė,"7,50",Kauno Aistės-LSMU,2019,4.,Gabrielė  Šulskė,"3,67",Vilniaus Kibirkštis-MRU,2019,4.,Kamilė  Berenytė,"0,82",Šiaulių Šiauliai,2019,4.,Andra  Gabalytė,"2,17",Klaipėdos Neptūnas,2019,4.,Amalija  Pašajevaitė,"4,50",Vilniaus Kibirkštis-VKM,2019,4.,Lina  Mikelevičienė,"31,50",Klaipėdos Neptūnas
2019,5.,Gabrielė  Šulskė,"13,75",Vilniaus Kibirkštis-MRU,2019,5.,Agnė  Černeckytė,"14,27",Klaipėdos Neptūnas,2019,5.,Saulė  Mikelionytė,"45,90%",Vilniaus Kibirkštis-MRU,2019,5.,Martyna   Petrėnaitė,"83,33%",Kauno Aistės-LSMU,2019,5.,Kristė  Timofejeva,"6,73",Vilniaus Kibirkštis-MRU,2019,5.,Santa  Baltkojienė,"3,67",Kauno Aistės-LSMU,2019,5.,Emilija  Grigaliūnaitė,"0,80",Vilniaus Kibirkštis-VKM,2019,5.,Audronė  Zdanevičiūtė,"2,09",Vilniaus Kibirkštis-VKM,2019,5.,Dalia  Donskichytė,"4,17",Klaipėdos Neptūnas,2019,5.,Agnė  Černeckytė,"30,27",Klaipėdos Neptūnas
2019,6.,Kristina  Masionytė,"13,45",Kauno Aistės-LSMU,2019,6.,Santa  Baltkojienė,"13,83",Kauno Aistės-LSMU,2019,6.,Kristina  Masionytė,"45,45%",Kauno Aistės-LSMU,2019,6.,Urtė  Slavickaitė,"82,35%",Šiaulių Šiauliai,2019,6.,Gabija  Šegždaitė,"6,45",Kauno Aistės-LSMU,2019,6.,Andra  Gabalytė,"3,50",Klaipėdos Neptūnas,2019,6.,Livija  Sakevičiūtė,"0,67",Vilniaus Kibirkštis-MRU,2019,6.,Dominyka  Paliulytė,"2,00",Šiaulių Šiauliai,2019,6.,Santa  Baltkojienė,"3,67",Kauno Aistės-LSMU,2019,6.,Gerda  Raulušaitytė,"29,91",Vilniaus Kibirkštis-VKM
2019,7.,Gabija  Šegždaitė,"13,27",Kauno Aistės-LSMU,2019,7.,Urtė  Slavickaitė,"13,13",Šiaulių Šiauliai,2019,7.,Ieva  Bagdanavičienė,"44,66%",Kauno Aistės-LSMU,2019,7.,Laurita  Jurčiūtė,"81,82%",Šiaulių Šiauliai,2019,7.,Emilija  Grigaliūnaitė,"6,20",Vilniaus Kibirkštis-VKM,2019,7.,Dominyka  Paliulytė,"3,45",Šiaulių Šiauliai,2019,7.,Kristina  Masionytė,"0,64",Kauno Aistės-LSMU,2019,7.,Daugilė  Šarauskaitė,"1,83",Vilniaus Kibirkštis-MRU,2019,7.,Anastasya  Sushchyk,"2,90",Šiaulių Šiauliai,2019,7.,Audronė  Zdanevičiūtė,"29,64",Vilniaus Kibirkštis-VKM
2019,8.,Audronė  Zdanevičiūtė,"13,18",Vilniaus Kibirkštis-VKM,2019,8.,Ieva  Bagdanavičienė,"11,82",Kauno Aistės-LSMU,2019,8.,Karolina  Kazočiūnaitė,"44,44%",Kauno Aistės-LSMU,2019,8.,Gabija  Šegždaitė,"78,95%",Kauno Aistės-LSMU,2019,8.,Gintarė  Paulauskaitė,"6,10",Šiaulių Šiauliai,2019,8.,Justina   Kraujūnaitė,"2,82",Vilniaus Kibirkštis-MRU,2019,8.,Gerda  Raulušaitytė,"0,55",Vilniaus Kibirkštis-VKM,2019,8.,Ieva  Bagdanavičienė,"1,82",Kauno Aistės-LSMU,2019,8.,Urtė  Slavickaitė,"2,88",Šiaulių Šiauliai,2019,8.,Daugilė  Šarauskaitė,"29,50",Vilniaus Kibirkštis-MRU
2019,9.,Laurita  Jurčiūtė,"13,00",Šiaulių Šiauliai,2019,9.,Gabrielė  Šulskė,"11,25",Vilniaus Kibirkštis-MRU,2019,9.,Kamilė  Mickutė,"43,24%",Klaipėdos Neptūnas,2019,9.,Andra  Gabalytė,"78,95%",Klaipėdos Neptūnas,2019,9.,Kamilė  Berenytė,"5,91",Šiaulių Šiauliai,2019,9.,Audronė  Zdanevičiūtė,"2,73",Vilniaus Kibirkštis-VKM,2019,9.,Amalija  Pašajevaitė,"0,50",Vilniaus Kibirkštis-VKM,2019,9.,Justina   Kraujūnaitė,"1,64",Vilniaus Kibirkštis-MRU,2019,9.,Agnė  Černeckytė,"2,82",Klaipėdos Neptūnas,2019,9.,Urtė  Slavickaitė,"29,38",Šiaulių Šiauliai
2019,10.,Gintarė  Paulauskaitė,"12,90",Šiaulių Šiauliai,2019,10.,Karolina  Kazočiūnaitė,"11,00",Kauno Aistės-LSMU,2019,10.,Rusnė  Būgaitė,"43,24%",Klaipėdos Neptūnas,2019,10.,Brigita  Sinickaitė,"78,57%",Kauno Aistės-LSMU,2019,10.,Livija  Sakevičiūtė,"5,75",Vilniaus Kibirkštis-MRU,2019,10.,Klaudija  Janionytė,"2,71",Kauno Aistės-LSMU,2019,10.,Lina  Mikelevičienė,"0,50",Klaipėdos Neptūnas,2019,10.,Justina  Miknaitė,"1,64",Vilniaus Kibirkštis-MRU,2019,10.,Laurita  Jurčiūtė,"2,75",Šiaulių Šiauliai,2019,10.,Santa  Baltkojienė,"28,83",Kauno Aistės-LSMU
2019,11.,Livija  Sakevičiūtė,"11,75",Vilniaus Kibirkštis-MRU,2019,11.,Gabija  Šegždaitė,"10,45",Kauno Aistės-LSMU,2019,11.,Martyna   Petrėnaitė,"43,24%",Kauno Aistės-LSMU,2019,11.,Dominyka  Paliulytė,"75,00%",Šiaulių Šiauliai,2019,11.,Gabrielė  Sederevičiūtė,"5,70",Vilniaus Kibirkštis-VKM,2019,11.,Dovilė  Saurazaitė,"2,71","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,11.,Eglė  Zabotkaitė,"0,45",Vilniaus Kibirkštis-MRU,2019,11.,Urtė  Slavickaitė,"1,63",Šiaulių Šiauliai,2019,11.,Andra  Gabalytė,"2,67",Klaipėdos Neptūnas,2019,11.,Gabija  Šegždaitė,"28,55",Kauno Aistės-LSMU
2019,12.,Ieva  Bagdanavičienė,"11,18",Kauno Aistės-LSMU,2019,12.,Kristina  Masionytė,"10,27",Kauno Aistės-LSMU,2019,12.,Lina  Mikelevičienė,"42,86%",Klaipėdos Neptūnas,2019,12.,Gerda  Raulušaitytė,"75,00%",Vilniaus Kibirkštis-VKM,2019,12.,Gerda  Raulušaitytė,"5,36",Vilniaus Kibirkštis-VKM,2019,12.,Urtė  Slavickaitė,"2,50",Šiaulių Šiauliai,2019,12.,Gabrielė  Sederevičiūtė,"0,40",Vilniaus Kibirkštis-VKM,2019,12.,Gabrielė  Šulskė,"1,58",Vilniaus Kibirkštis-MRU,2019,12.,Livija  Sakevičiūtė,"2,50",Vilniaus Kibirkštis-MRU,2019,12.,Andra  Gabalytė,"28,33",Klaipėdos Neptūnas
2019,13.,Kristė  Timofejeva,"11,00",Vilniaus Kibirkštis-MRU,2019,13.,Rusnė  Augustinaitė,"10,00",Šiaulių Šiauliai,2019,13.,Gerda  Raulušaitytė,"41,79%",Vilniaus Kibirkštis-VKM,2019,13.,Kristina  Masionytė,"74,29%",Kauno Aistės-LSMU,2019,13.,Urtė  Slavickaitė,"4,88",Šiaulių Šiauliai,2019,13.,Brigita   Gudelionytė,"2,44",Klaipėdos Neptūnas,2019,13.,Brigita   Gudelionytė,"0,33",Klaipėdos Neptūnas,2019,13.,Kristė  Timofejeva,"1,55",Vilniaus Kibirkštis-MRU,2019,13.,Lina  Mikelevičienė,"2,50",Klaipėdos Neptūnas,2019,13.,Laurita  Jurčiūtė,"28,00",Šiaulių Šiauliai
2019,14.,Andra  Gabalytė,"10,83",Klaipėdos Neptūnas,2019,14.,Dominyka  Gerkytė,"9,82",Vilniaus Kibirkštis-VKM,2019,14.,Rusnė  Augustinaitė,"41,77%",Šiaulių Šiauliai,2019,14.,Kamilė  Berenytė,"73,68%",Šiaulių Šiauliai,2019,14.,Dominyka  Paliulytė,"4,82",Šiaulių Šiauliai,2019,14.,Rasa  Knyzaitė,"2,36",Kauno Aistės-LSMU,2019,14.,Andra  Gabalytė,"0,33",Klaipėdos Neptūnas,2019,14.,Dominyka  Gerkytė,"1,55",Vilniaus Kibirkštis-VKM,2019,14.,Kristė  Timofejeva,"2,36",Vilniaus Kibirkštis-MRU,2019,14.,Dominyka  Gerkytė,"27,45",Vilniaus Kibirkštis-VKM
2019,15.,Santa  Baltkojienė,"9,83",Kauno Aistės-LSMU,2019,15.,Andra  Gabalytė,"9,50",Klaipėdos Neptūnas,2019,15.,Gabrielė  Šulskė,"41,67%",Vilniaus Kibirkštis-MRU,2019,15.,Saulė  Mikelionytė,"72,73%",Vilniaus Kibirkštis-MRU,2019,15.,Goda  Kuzminskytė,"4,70",Kauno Aistės-LSMU,2019,15.,Livija  Sakevičiūtė,"2,33",Vilniaus Kibirkštis-MRU,2019,15.,Ieva  Bagdanavičienė,"0,27",Kauno Aistės-LSMU,2019,15.,Karolina  Kazočiūnaitė,"1,50",Kauno Aistės-LSMU,2019,15.,Emilija  Grigaliūnaitė,"2,30",Vilniaus Kibirkštis-VKM,2019,15.,Anastasya  Sushchyk,"27,10",Šiaulių Šiauliai
2019,16.,Justina   Kraujūnaitė,"9,82",Vilniaus Kibirkštis-MRU,2019,16.,Dominyka  Paliulytė,"9,18",Šiaulių Šiauliai,2019,16.,Goda  Ziutelytė,"41,46%",Šiaulių Šiauliai,2019,16.,Eglė  Zabotkaitė,"72,41%",Vilniaus Kibirkštis-MRU,2019,16.,Anastasya  Sushchyk,"4,40",Šiaulių Šiauliai,2019,16.,Kristina  Masionytė,"2,27",Kauno Aistės-LSMU,2019,16.,Gabija  Šegždaitė,"0,27",Kauno Aistės-LSMU,2019,16.,Gabija  Šegždaitė,"1,45",Kauno Aistės-LSMU,2019,16.,Daugilė  Šarauskaitė,"2,25",Vilniaus Kibirkštis-MRU,2019,16.,Ieva  Bagdanavičienė,"27,00",Kauno Aistės-LSMU
2019,17.,Kamilė  Berenytė,"8,64",Šiaulių Šiauliai,2019,17.,Gintarė  Paulauskaitė,"9,00",Šiaulių Šiauliai,2019,17.,Justina   Kraujūnaitė,"40,48%",Vilniaus Kibirkštis-MRU,2019,17.,Brigita   Gudelionytė,"72,22%",Klaipėdos Neptūnas,2019,17.,Gabrielė  Šulskė,"4,33",Vilniaus Kibirkštis-MRU,2019,17.,Brigita  Sinickaitė,"2,20",Kauno Aistės-LSMU,2019,17.,Rusnė  Augustinaitė,"0,25",Šiaulių Šiauliai,2019,17.,Livija  Sakevičiūtė,"1,42",Vilniaus Kibirkštis-MRU,2019,17.,Rusnė  Augustinaitė,"2,25",Šiaulių Šiauliai,2019,17.,Kristė  Timofejeva,"26,18",Vilniaus Kibirkštis-MRU
2019,18.,Agnė  Černeckytė,"8,55",Klaipėdos Neptūnas,2019,18.,Klaudija  Serkevičiūtė,"8,83",Vilniaus Kibirkštis-MRU,2019,18.,Gabija  Strolytė,"40,00%",Vilniaus Kibirkštis-VKM,2019,18.,Gabrielė  Šulskė,"71,74%",Vilniaus Kibirkštis-MRU,2019,18.,Ieva  Bagdanavičienė,"4,27",Kauno Aistės-LSMU,2019,18.,Kristė  Timofejeva,"2,18",Vilniaus Kibirkštis-MRU,2019,18.,Goda  Kuzminskytė,"0,20",Kauno Aistės-LSMU,2019,18.,Anastasya  Sushchyk,"1,40",Šiaulių Šiauliai,2019,18.,Brigita   Gudelionytė,"2,11",Klaipėdos Neptūnas,2019,18.,Livija  Sakevičiūtė,"26,17",Vilniaus Kibirkštis-MRU
2019,19.,Urtė  Slavickaitė,"8,13",Šiaulių Šiauliai,2019,19.,Martyna   Petrėnaitė,"8,50",Kauno Aistės-LSMU,2019,19.,Laurita  Jurčiūtė,"40,00%",Šiaulių Šiauliai,2019,19.,Karolina  Kazočiūnaitė,"70,59%",Kauno Aistės-LSMU,2019,19.,Rasa  Knyzaitė,"4,09",Kauno Aistės-LSMU,2019,19.,Agnė  Černeckytė,"2,18",Klaipėdos Neptūnas,2019,19.,Kamilė  Mickutė,"0,18",Klaipėdos Neptūnas,2019,19.,Aušrinė  Belickaitė,"1,33",Vilniaus Kibirkštis-VKM,2019,19.,Rusnė  Būgaitė,"2,09",Klaipėdos Neptūnas,2019,19.,Dalia  Donskichytė,"25,83",Klaipėdos Neptūnas
2019,20.,Klaudija  Serkevičiūtė,"7,75",Vilniaus Kibirkštis-MRU,2019,20.,Justina   Kraujūnaitė,"8,27",Vilniaus Kibirkštis-MRU,2019,20.,Dovilė  Saurazaitė,"39,34%","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,20.,Audronė  Zdanevičiūtė,"68,35%",Vilniaus Kibirkštis-VKM,2019,20.,Santa  Baltkojienė,"4,00",Kauno Aistės-LSMU,2019,20.,Karolina  Kazočiūnaitė,"2,10",Kauno Aistės-LSMU,2019,20.,Santa  Baltkojienė,"0,17",Kauno Aistės-LSMU,2019,20.,Klaudija  Janionytė,"1,29",Kauno Aistės-LSMU,2019,20.,Gabrielė  Šulskė,"2,08",Vilniaus Kibirkštis-MRU,2019,20.,Gabrielė  Sederevičiūtė,"25,70",Vilniaus Kibirkštis-VKM
2019,21.,Dominyka  Paliulytė,"7,45",Šiaulių Šiauliai,2019,21.,Dovilė  Saurazaitė,"8,14","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,21.,Santa  Baltkojienė,"38,10%",Kauno Aistės-LSMU,2019,21.,Justina   Kraujūnaitė,"67,74%",Vilniaus Kibirkštis-MRU,2019,21.,Audronė  Zdanevičiūtė,"3,91",Vilniaus Kibirkštis-VKM,2019,21.,Klaudija  Serkevičiūtė,"2,08",Vilniaus Kibirkštis-MRU,2019,21.,Dovilė  Saurazaitė,"0,14","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,21.,Dovilė  Saurazaitė,"1,29","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,21.,Klaudija  Serkevičiūtė,"2,00",Vilniaus Kibirkštis-MRU,2019,21.,Kamilė  Berenytė,"25,45",Šiaulių Šiauliai
2019,22.,Saulė  Mikelionytė,"7,00",Vilniaus Kibirkštis-MRU,2019,22.,Livija  Sakevičiūtė,"8,08",Vilniaus Kibirkštis-MRU,2019,22.,Enrika  Matiukaitė,"37,93%","Šiaulių Šiauliai

Vilniaus Kibirkštis-MRU",2019,22.,Rusnė  Būgaitė,"65,00%",Klaipėdos Neptūnas,2019,22.,Andra  Gabalytė,"3,67",Klaipėdos Neptūnas,2019,22.,Lina  Mikelevičienė,"1,83",Klaipėdos Neptūnas,2019,22.,Urtė  Slavickaitė,"0,13",Šiaulių Šiauliai,2019,22.,Kamilė  Berenytė,"1,27",Šiaulių Šiauliai,2019,22.,Rasa  Knyzaitė,"2,00",Kauno Aistės-LSMU,2019,22.,Dovilė  Saurazaitė,"25,43","Kauno Aistės-LSMU

Klaipėdos Neptūnas"
2019,23.,Gerda  Raulušaitytė,"6,36",Vilniaus Kibirkštis-VKM,2019,23.,Dalia  Donskichytė,"8,00",Klaipėdos Neptūnas,2019,23.,Gintarė  Paulauskaitė,"37,80%",Šiaulių Šiauliai,2019,23.,Kristė  Timofejeva,"63,89%",Vilniaus Kibirkštis-MRU,2019,23.,Enrika  Matiukaitė,"3,56","Šiaulių Šiauliai

Vilniaus Kibirkštis-MRU",2019,23.,Dominyka  Gerkytė,"1,73",Vilniaus Kibirkštis-VKM,2019,23.,Enrika  Matiukaitė,"0,11","Šiaulių Šiauliai

Vilniaus Kibirkštis-MRU",2019,23.,Dovilė  Jankauskaitė,"1,27",Klaipėdos Neptūnas,2019,23.,Gabrielė  Sederevičiūtė,"2,00",Vilniaus Kibirkštis-VKM,2019,23.,Gabrielė  Šulskė,"24,67",Vilniaus Kibirkštis-MRU
2019,24.,Martyna   Petrėnaitė,"6,30",Kauno Aistės-LSMU,2019,24.,Brigita  Sinickaitė,"7,40",Kauno Aistės-LSMU,2019,24.,Dominyka  Paliulytė,"37,50%",Šiaulių Šiauliai,2019,24.,Agnė  Černeckytė,"62,75%",Klaipėdos Neptūnas,2019,24.,Saulė  Mikelionytė,"3,55",Vilniaus Kibirkštis-MRU,2019,24.,Gabija  Šegždaitė,"1,64",Kauno Aistės-LSMU,2019,24.,Aušrinė  Belickaitė,"0,11",Vilniaus Kibirkštis-VKM,2019,24.,Klaudija  Serkevičiūtė,"1,25",Vilniaus Kibirkštis-MRU,2019,24.,Dovilė  Jankauskaitė,"1,91",Klaipėdos Neptūnas,2019,24.,Klaudija  Serkevičiūtė,"23,00",Vilniaus Kibirkštis-MRU
2019,25.,Brigita  Sinickaitė,"6,20",Kauno Aistės-LSMU,2019,25.,Kristė  Timofejeva,"7,27",Vilniaus Kibirkštis-MRU,2019,25.,Emilija  Grigaliūnaitė,"37,50%",Vilniaus Kibirkštis-VKM,2019,25.,Justina  Miknaitė,"62,50%",Vilniaus Kibirkštis-MRU,2019,25.,Dominyka  Gerkytė,"3,55",Vilniaus Kibirkštis-VKM,2019,25.,Eglė  Zabotkaitė,"1,36",Vilniaus Kibirkštis-MRU,2019,25.,Martyna   Petrėnaitė,"0,10",Kauno Aistės-LSMU,2019,25.,Brigita   Gudelionytė,"1,22",Klaipėdos Neptūnas,2019,25.,Aistė  Radzevičiūtė,"1,91",Vilniaus Kibirkštis-VKM,2019,25.,Emilija  Grigaliūnaitė,"22,60",Vilniaus Kibirkštis-VKM
2019,26.,Eglė  Zabotkaitė,"6,00",Vilniaus Kibirkštis-MRU,2019,26.,Anastasya  Sushchyk,"6,90",Šiaulių Šiauliai,2019,26.,Gabija  Janušaitė,"37,50%",Kauno Aistės-LSMU,2019,26.,Goda  Ziutelytė,"61,11%",Šiaulių Šiauliai,2019,26.,Amalija  Pašajevaitė,"3,30",Vilniaus Kibirkštis-VKM,2019,26.,Kamilė  Mickutė,"1,27",Klaipėdos Neptūnas,2019,26.,Dominyka  Paliulytė,"0,09",Šiaulių Šiauliai,2019,26.,Gintarė  Paulauskaitė,"1,20",Šiaulių Šiauliai,2019,26.,Dovilė  Saurazaitė,"1,86","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,26.,Kristina  Masionytė,"22,55",Kauno Aistės-LSMU
2019,27.,Rasa  Knyzaitė,"6,00",Kauno Aistės-LSMU,2019,27.,Brigita   Gudelionytė,"6,67",Klaipėdos Neptūnas,2019,27.,Klaudija  Serkevičiūtė,"37,38%",Vilniaus Kibirkštis-MRU,2019,27.,Klaudija  Serkevičiūtė,"60,00%",Vilniaus Kibirkštis-MRU,2019,27.,Rusnė  Būgaitė,"3,18",Klaipėdos Neptūnas,2019,27.,Daugilė  Šarauskaitė,"1,25",Vilniaus Kibirkštis-MRU,2019,27.,Kristė  Timofejeva,"0,09",Vilniaus Kibirkštis-MRU,2019,27.,Agnė  Černeckytė,"1,18",Klaipėdos Neptūnas,2019,27.,Kristina  Masionytė,"1,73",Kauno Aistės-LSMU,2019,27.,Dominyka  Paliulytė,"21,18",Šiaulių Šiauliai
2019,28.,Anastasya  Sushchyk,"5,90",Šiaulių Šiauliai,2019,28.,Kamilė  Berenytė,"6,64",Šiaulių Šiauliai,2019,28.,Brigita  Sinickaitė,"37,14%",Kauno Aistės-LSMU,2019,28.,Amalija  Pašajevaitė,"60,00%",Vilniaus Kibirkštis-VKM,2019,28.,Kristina  Masionytė,"3,18",Kauno Aistės-LSMU,2019,28.,Rusnė  Augustinaitė,"1,25",Šiaulių Šiauliai,2019,28.,Justina   Kraujūnaitė,"0,09",Vilniaus Kibirkštis-MRU,2019,28.,Martyna   Petrėnaitė,"1,00",Kauno Aistės-LSMU,2019,28.,Gerda  Raulušaitytė,"1,64",Vilniaus Kibirkštis-VKM,2019,28.,Rusnė  Augustinaitė,"21,00",Šiaulių Šiauliai
2019,29.,Rusnė  Augustinaitė,"5,88",Šiaulių Šiauliai,2019,29.,Saulė  Mikelionytė,"6,55",Vilniaus Kibirkštis-MRU,2019,29.,Audronė  Zdanevičiūtė,"37,00%",Vilniaus Kibirkštis-VKM,2019,29.,Livija  Sakevičiūtė,"58,33%",Vilniaus Kibirkštis-MRU,2019,29.,Justina   Kraujūnaitė,"3,09",Vilniaus Kibirkštis-MRU,2019,29.,Gintarė  Paulauskaitė,"1,20",Šiaulių Šiauliai,2019,29.,Justina  Miknaitė,"0,09",Vilniaus Kibirkštis-MRU,2019,29.,Lina  Mikelevičienė,"1,00",Klaipėdos Neptūnas,2019,29.,Gabija  Šegždaitė,"1,64",Kauno Aistės-LSMU,2019,29.,Amalija  Pašajevaitė,"20,30",Vilniaus Kibirkštis-VKM
2019,30.,Dovilė  Saurazaitė,"5,86","Kauno Aistės-LSMU

Klaipėdos Neptūnas",2019,30.,Gerda  Raulušaitytė,"6,36",Vilniaus Kibirkštis-VKM,2019,30.,Amalija  Pašajevaitė,"36,67%",Vilniaus Kibirkštis-VKM,2019,30.,Dominyka  Gerkytė,"55,56%",Vilniaus Kibirkštis-VKM,2019,30.,Klaudija  Serkevičiūtė,"3,08",Vilniaus Kibirkštis-MRU,2019,30.,Justina  Miknaitė,"1,18",Vilniaus Kibirkštis-MRU,2019,30.,Audronė  Zdanevičiūtė,"0,09",Vilniaus Kibirkštis-VKM,2019,30.,Brigita  Sinickaitė,"1,00",Kauno Aistės-LSMU,2019,30.,Klaudija  Janionytė,"1,57",Kauno Aistės-LSMU,2019,30.,Rasa  Knyzaitė,"20,27",Kauno Aistės-LSMU
2019,31.,Emilija  Grigaliūnaitė,"5,10",Vilniaus Kibirkštis-VKM,2019,31.,Eglė  Zabotkaitė,"6,09",Vilniaus Kibirkštis-MRU,2019,31.,Kristė  Timofejeva,"36,62%",Vilniaus Kibirkštis-MRU,2019,31.,Gintarė  Paulauskaitė,"55,00%",Šiaulių Šiauliai,2019,31.,Justina  Miknaitė,"3,00",Vilniaus Kibirkštis-MRU,2019,31.,Kamilė  Berenytė,"1,09",Šiaulių Šiauliai,2019,31.,Klaudija  Serkevičiūtė,"0,08",Vilniaus Kibirkštis-MRU,2019,31.,Santa  Baltkojienė,"0,83",Kauno Aistės-LSMU,2019,31.,Goda  Kuzminskytė,"1,40",Kauno Aistės-LSMU,2019,31.,Dovilė  Jankauskaitė,"19,82",Klaipėdos Neptūnas
2020,1.,Davida  Dale,"16,71",Šiaulių Šiauliai,2020,1.,Viltė  Andrunavičiūtė,"16,55",LCC tarptautinis universitetas,2020,1.,Urtė  Ratavičiūtė,"75,00%",Vilniaus Kibirkštis-VKM,2020,1.,Urtė  Slavickaitė,"89,47%",Kauno Aistės-LSMU,2020,1.,Ionna  McKenzie,"7,96",Klaipėdos Neptūnas,2020,1.,Davida  Dale,"4,96",Šiaulių Šiauliai,2020,1.,Gintarė  Paulauskaitė,"1,52",Klaipėdos Neptūnas,2020,1.,Davida  Dale,"3,79",Šiaulių Šiauliai,2020,1.,Dominyka  Gerkytė,"6,28",Vilniaus Kibirkštis-VKM,2020,1.,Dalia  Donskichytė,"32,56",Klaipėdos Neptūnas
2020,2.,Savannah  Plentovich,"15,61",Šiaulių Šiauliai,2020,2.,Jacqueline  Benitez,"14,31",Šiaulių Šiauliai,2020,2.,Ieva  Savickaitė,"58,26%",Vilniaus Kibirkštis-MRU,2020,2.,Vestina  Keburytė,"86,21%",LCC tarptautinis universitetas,2020,2.,Savannah  Plentovich,"7,30",Šiaulių Šiauliai,2020,2.,Andra  Gabalytė,"4,33",Klaipėdos Neptūnas,2020,2.,Karolina  Kazočiūnaitė,"1,00",Kauno Aistės-LSMU,2020,2.,Dalia  Donskichytė,"3,24",Klaipėdos Neptūnas,2020,2.,Viltė  Andrunavičiūtė,"5,73",LCC tarptautinis universitetas,2020,2.,Agnė  Černeckytė,"31,35",Klaipėdos Neptūnas
2020,3.,Ligita  Tamutytė,"14,76",Klaipėdos Neptūnas,2020,3.,Davida  Dale,"13,79",Šiaulių Šiauliai,2020,3.,Livija  Sakevičiūtė,"57,50%",Vilniaus Kibirkštis-MRU,2020,3.,Gabija  Šegždaitė,"85,45%",Kauno Aistės-LSMU,2020,3.,Gabija  Šegždaitė,"7,12",Kauno Aistės-LSMU,2020,3.,Justina   Kraujūnaitė,"4,21",Vilniaus Kibirkštis-MRU,2020,3.,Emilija  Grigaliūnaitė,"1,00",Vilniaus Kibirkštis-VKM,2020,3.,Savannah  Plentovich,"2,91",Šiaulių Šiauliai,2020,3.,Amalija  Pašajevaitė,"4,90",Vilniaus Kibirkštis-VKM,2020,3.,Andra  Gabalytė,"31,19",Klaipėdos Neptūnas
